University,Location,GradeA,GradeB,GradeC,GradeD,GradeE,Quota,EntranceExam,Majors
សាកលវិទ្យាល័យជាស៊ីមកំចាយមារ - Chea Sim Kamchaymear University (CSUK),Prey Veng,85,65,0,0,0,68,No,Animal Production and Veterinary Medicine|Agronomy|English Literature|Computer Science|Mathematics|Law
វិទ្យាស្ថានគ្រប់គ្រង និងអភិវឌ្ឍន៍ - Institute of Management and Development,Pursat,80,60,0,0,0,55,No,Accounting|Management|Marketing|Law|Public Administration
សាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច (ពោធិ៍សាត់) - University of Management and Economics (UME),Pursat,80,60,0,0,0,62,No,Accounting|Banking|Management|Marketing|Law|Economic Science|Public Administration|Computer Science|English
វិទ្យាស្ថានពហុបច្ចេកទេសខេត្តពោធិ៍សាត់ - Pursat Polytechnic Institute,Pursat,0,0,0,0,0,0,No,Electrical Engineering
សាកលវិទ្យាល័យ ឯកទេស នៃកម្ពុជា (សៀមរាប) - Cambodia University of Specialties (Siem Reap),Siem Reap,100,75,0,0,0,94,No,Management|Marketing|Accounting|International Business|Tourism|Banking|Economics|Khmer Literature|English|Law|Information Technology|IT
សាកលវិទ្យាល័យ សៅស៍អ៊ីសថ៍អេយសៀ - University of South-East Asia (USEA),Siem Reap,90,70,0,0,0,82,Yes,Management|Marketing|Accounting|International Business|Banking|International Economics|International Tourism Management|Hospitality and Tourism Management|Law|Private Law
សាកលវិទ្យាល័យបៀលប្រាយ (សៀមរាប) - Build Bright University (BBU - Siem Reap),Siem Reap,100,80,45,0,0,110,No,
សាកលវិទ្យាល័យអង្គរ - Angkor University,Siem Reap,100,80,50,0,0,120,No,
សាកលវិទ្យាល័យគ្រប់គ្រង និងសេដ្ឋកិច្ច - University of Management and Economics (UME),Preah Sihanouk,100,80,0,0,0,108,No,Accounting|Management|Law|Computer Science|English
សាកលវិទ្យាល័យស្វាយរៀង - Svay Rieng University (SRU),Svay Rieng,85,65,0,0,0,75,No,Mechanical Engineering|Electronics and Automation Engineering|Animal Science and Veterinary Medicine|Rural Development|Agronomy|Marketing|Mathematics|Computer Science
វិទ្យាស្ថានវិទ្យាសាស្ត្រ និងបច្ចេកវិទ្យានៃកម្ពុជា - Cambodia Institute of Science and Technology (Takeo),Takeo,85,65,0,0,0,70,No,Accounting|Human Resource Management|Marketing|Banking and Finance|Information Technology|Public Administration
វិទ្យាស្ថានវិទ្យាសាស្ត្រ និងបច្ចេកវិទ្យានៃកម្ពុជា - Cambodia Institute of Science and Technology (Oddar Meanchey),Oddar Meanchey,0,0,0,0,0,0,No,Accounting|Human Resource Management|Marketing|Banking and Finance|Information Technology|Public Administration
វិទ្យាស្ថានអាស៊ី កម្ពុជា - Asia Institute Cambodia,Oddar Meanchey,85,65,0,0,0,60,No,Public Law|Public Administration|Accounting|Banking|Human Resource Management|Marketing
វិទ្យាស្ថានបច្ចេកវិទ្យាកម្ពុជា (ខេត្តកែប) - Institute of Technology of Cambodia (ITC - Kep),Kep,95,80,0,0,0,88,Yes,Engineering
សាកលវិទ្យាល័យ ហេង សំរិន ត្បូងឃ្មុំ - Heng Samrin Thboung Khmum University,Tboung Khmum,100,85,60,30,0,120,Yes,Agronomy|Agricultural Economics|Animal Science|Khmer Literature|History|Philosophy|Public Administration|English|Computer Science|Computer Applications|Banking|Accounting|Management
